ID,Affiliation,Most significant hurdle?,Onboarding Complexity,TImeline to receive first Government Contract award?,What do you perceive as the biggest barriers for small businesses pursuing their first federal contract? (Select up to 3),What single change can reduce barriers?,Most challenging factors for Small Businesses to enter marketplace,Needed resources? ,Which stage of the onboarding process would benefit most from simplification?
66,Government employee involved in procurement/contracting,"Cybersecurity requirements, Small business certification processes, Understanding where/how to begin",4,More than 3 years,"Competing against more experienced businesses, Creating compelling proposals, Identifying appropriate contract opportunities",,"Competition from established contractors, Knowledge gap about federal procurement processes","Centralized ""getting started"" portal with step-by-step guidance, Mentorship programs with experienced contractors",Finding relevant opportunities
67,Consultant/advisor to businesses seeking government contracts,"Navigating multiple systems/websites, Time required to complete registrations, Understanding where/how to begin",5,Unsure,"Competing against more experienced businesses, Meeting compliance standards with limited resources, Understanding evaluation criteria",One location for all resources ,"Knowledge gap about federal procurement processes, Resource constraints","Centralized ""getting started"" portal with step-by-step guidance, More small business set-aside opportunities, Standardized proposal templates",Understanding solicitation requirements
68,Employee of large government contractor,"Cybersecurity requirements, SAM.gov registration complexity, Small business certification processes",5,2-3 years,"Competing against more experienced businesses, Meeting compliance standards with limited resources, Meeting past performance requirements","Single site to register, get training, showcase opportunities","Competition from established contractors, Resource constraints","Better training materials and workshops, Centralized ""getting started"" portal with step-by-step guidance, Standardized proposal templates",Proposal development and submission
69,Employee of large government contractor,"Time required to complete registrations, Understanding specialized terminology, Understanding where/how to begin",4,Unsure,"Competing against more experienced businesses, Creating compelling proposals, Meeting compliance standards with limited resources",Simplified portal registration and liaison to support  ,"Navigating complex solicitation requirements, Resource constraints","Centralized ""getting started"" portal with step-by-step guidance, Plain language guides to requirements, Standardized proposal templates",Understanding solicitation requirements
70,Employee of large government contractor,"Cybersecurity requirements, SAM.gov registration complexity, Understanding where/how to begin",4,More than 3 years,"Creating compelling proposals, Meeting compliance standards with limited resources, Understanding solicitation requirements","Standardizing and simplifying the solicitation requirements specifically for small businesses.  In my experience, small businesses take huge risks in hiring expensive outside help just to navigate the requirements of a solicitation.","Administrative burden of registration and compliance, Navigating complex solicitation requirements","Centralized ""getting started"" portal with step-by-step guidance, More small business set-aside opportunities, Plain language guides to requirements",Understanding solicitation requirements
71,Employee of large government contractor,"Cybersecurity requirements, Small business certification processes, Understanding specialized terminology",4,Unsure,"Competing against more experienced businesses, Developing competitive pricing strategies, Meeting compliance standards with limited resources",A simplified proposal process for SBs specifically. ,"Competition from established contractors, Resource constraints","Dedicated small business liaisons at agencies, More small business set-aside opportunities, Standardized proposal templates",Understanding solicitation requirements
72,Employee of large government contractor,"Finding the right points of contact, SAM.gov registration complexity, Small business certification processes",5,1-2 years,"Building relationships with contracting officers, Meeting past performance requirements, Understanding solicitation requirements",Better Communication all around!,"Knowledge gap about federal procurement processes, Navigating complex solicitation requirements","Centralized ""getting started"" portal with step-by-step guidance, Plain language guides to requirements, Simplified registration processes",Initial registration (SAM.gov certifications)
73,Employee of large government contractor,"Navigating multiple systems/websites, Small business certification processes, Understanding specialized terminology",5,Unsure,"Meeting compliance standards with limited resources, Understanding evaluation criteria, Understanding solicitation requirements",Simplfying the overall process for small business from registration to solicitations to award.,"Knowledge gap about federal procurement processes, Resource constraints","Better training materials and workshops, Dedicated small business liaisons at agencies, Plain language guides to requirements",Understanding solicitation requirements
74,Government employee involved in procurement/contracting,"Cybersecurity requirements, Navigating multiple systems/websites, Understanding where/how to begin",4,1-2 years,"Competing against more experienced businesses, Creating compelling proposals, Understanding solicitation requirements",,"Administrative burden of registration and compliance, Navigating complex solicitation requirements","Centralized ""getting started"" portal with step-by-step guidance, Mentorship programs with experienced contractors, Plain language guides to requirements",Proposal development and submission
75,Government employee involved in procurement/contracting,SAM.gov registration complexity,3,6-12 months,"Competing against more experienced businesses, Creating compelling proposals, Meeting compliance standards with limited resources","Understanding that federal procurement is rule based, not relationship based. ","Knowledge gap about federal procurement processes, Resource constraints","Better training materials and workshops, Mentorship programs with experienced contractors, Simplified registration processes",Initial registration (SAM.gov certifications)
76,Other stakeholder in the federal marketplace,"Navigating multiple systems/websites, SAM.gov registration complexity, Understanding where/how to begin",4,Unsure,"Creating compelling proposals, Developing competitive pricing strategies, Identifying appropriate contract opportunities",,"Competition from established contractors, Navigating complex solicitation requirements","Centralized ""getting started"" portal with step-by-step guidance, Mentorship programs with experienced contractors, Simplified registration processes",Proposal development and submission
77,Other stakeholder in the federal marketplace,"Finding the right points of contact, Navigating multiple systems/websites, SAM.gov registration complexity",4,1-2 years,"Creating compelling proposals, Identifying appropriate contract opportunities, Meeting past performance requirements",,"Competition from established contractors, Navigating complex solicitation requirements","Centralized ""getting started"" portal with step-by-step guidance, Mentorship programs with experienced contractors, More small business set-aside opportunities",Proposal development and submission
78,Employee of large government contractor,"Understanding specialized terminology, Understanding where/how to begin",3,1-2 years,"Competing against more experienced businesses, Developing competitive pricing strategies",promoting more visibility for small businesses which combats name recognition/incumbency advantage for large businesses ,"Competition from established contractors, Resource constraints","Centralized ""getting started"" portal with step-by-step guidance, Mentorship programs with experienced contractors, Plain language guides to requirements",Contract negotiation and award
79,Employee of large government contractor,"Small business certification processes, Time required to complete registrations, Understanding where/how to begin",5,1-2 years,"Competing against more experienced businesses, Identifying appropriate contract opportunities, Meeting past performance requirements",Better understanding of regulations and requirements. ,"Administrative burden of registration and compliance, Competition from established contractors","Centralized ""getting started"" portal with step-by-step guidance, Dedicated small business liaisons at agencies, Mentorship programs with experienced contractors",Understanding solicitation requirements
80,Small business owner/employee seeking government contracts,"Cybersecurity requirements, Finding the right points of contact, Navigating multiple systems/websites",5,1-2 years,"Building relationships with contracting officers, Meeting compliance standards with limited resources, Meeting past performance requirements",Embracing iterative solution development with small business instead of entrenched term solutions.,"Administrative burden of registration and compliance, Navigating complex solicitation requirements","Mentorship programs with experienced contractors, More small business set-aside opportunities, Standardized proposal templates",Post-submission communication
81,Small business owner/employee seeking government contracts,"Finding the right points of contact, Navigating multiple systems/websites, Time required to complete registrations",5,1-2 years,"Competing against more experienced businesses, Developing competitive pricing strategies, Meeting past performance requirements","We sell products rather than services. Winning contracts is a race to $0 and the process is extremely time consuming. We have a GSA contract have half the buyers don't even know what that means. We got our GSA contract because we were told they want to buy that way, it cost us $10k in legal fees and 13 months from submission to award to get the contract. During that time the HQ element  mandated the our end user that many of our products must be purchased on DLA, even though we went through the process to get our GSA contract. We can't get a hold of anyone at DLA to tell us how to get our products on DLA and are forced to sell through a prime on a contract because we are the only distributors of the product. Results, the end user pays 33.5% more for our product because they have to buy it through DLA rather than direct from us (through contract or GSA)","Administrative burden of registration and compliance, Competition from established contractors","More small business set-aside opportunities, Plain language guides to requirements, Standardized proposal templates",Proposal development and submission
82,Employee of large government contractor,"Cybersecurity requirements, Small business certification processes",2,1-2 years,"Meeting compliance standards with limited resources, Understanding evaluation criteria, Understanding solicitation requirements",standardized templates they can easily follow,"Knowledge gap about federal procurement processes, Navigating complex solicitation requirements","Centralized ""getting started"" portal with step-by-step guidance, Simplified registration processes, Standardized proposal templates",Post-submission communication
83,Employee of large government contractor,"Cybersecurity requirements, Understanding specialized terminology, Understanding where/how to begin",4,6-12 months,"Competing against more experienced businesses, Meeting compliance standards with limited resources, Meeting past performance requirements",Allowing strategic/detailed business plans in lieu of past experience for small businesses first starting out.,"Administrative burden of registration and compliance, Competition from established contractors","Better training materials and workshops, Centralized ""getting started"" portal with step-by-step guidance, Mentorship programs with experienced contractors",Understanding solicitation requirements
84,Government employee involved in procurement/contracting,"Finding the right points of contact, Understanding specialized terminology, Understanding where/how to begin",3,1-2 years,"Creating compelling proposals, Developing competitive pricing strategies, Identifying appropriate contract opportunities",Plain Language in government contracts,"Competition from established contractors, Knowledge gap about federal procurement processes","Mentorship programs with experienced contractors, Standardized proposal templates",Proposal development and submission
85,Government employee involved in procurement/contracting,"Cybersecurity requirements, Small business certification processes, Understanding where/how to begin",4,Unsure,"Competing against more experienced businesses, Creating compelling proposals, Identifying appropriate contract opportunities",,"Competition from established contractors, Resource constraints","Centralized ""getting started"" portal with step-by-step guidance",Proposal development and submission
86,Small business owner/employee seeking government contracts,"Cybersecurity requirements, Finding the right points of contact, Understanding where/how to begin",5,2-3 years,"Building relationships with contracting officers, Competing against more experienced businesses, Meeting past performance requirements",Knowing where and how to build relationships with contracting officers that are critical to winning solicitations. ,"Competition from established contractors, Knowledge gap about federal procurement processes","Dedicated small business liaisons at agencies, Mentorship programs with experienced contractors, More small business set-aside opportunities",Finding relevant opportunities
87,Government employee involved in procurement/contracting,"Navigating multiple systems/websites, Small business certification processes, Understanding where/how to begin",3,2-3 years,"Developing competitive pricing strategies, Meeting compliance standards with limited resources, Understanding solicitation requirements","Reduce the complexity of government requirements. Simplify registration/certification processes, standardize general accounting practices.","Competition from established contractors, Knowledge gap about federal procurement processes","Better training materials and workshops, Mentorship programs with experienced contractors, Simplified registration processes",Finding relevant opportunities
